INFO:root:2016-08-20 01:06:41.475022 -> Fetch log script started
INFO:root:2016-08-20 01:06:41.651464  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:06:41.725764  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:06:41.826203  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:06:41.901356  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:06:41.901478 -> waiting for next log update
INFO:root:2016-08-20 01:07:42.073008  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:07:42.073214  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:07:42.175185  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:07:42.175376  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:07:42.175471 -> waiting for next log update
INFO:root:2016-08-20 01:08:42.361051  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:08:42.361444  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:08:42.462759  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:08:42.462947  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:08:42.463026 -> waiting for next log update
INFO:root:2016-08-20 01:09:42.638630  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:09:42.638882  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:09:42.745992  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:09:42.746275  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:09:42.746354 -> waiting for next log update
INFO:root:2016-08-20 01:10:42.917736  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:10:42.918043  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:10:43.047340  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:10:43.047512  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:10:43.047586 -> waiting for next log update
INFO:root:2016-08-20 01:11:43.234436  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:11:43.234722  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:11:43.382439  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:11:43.382614  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:11:43.382716 -> waiting for next log update
